ID,Product ID,Price,Discount,Stock,Is Active,Is Stock,Weight,Unit,All Types,Is Deal
2375,148,0,0,0,FALSE,FALSE,,,,FALSE
2938,159,6120,0,0,TRUE,FALSE,,,,FALSE
3242,208,540,0,0,TRUE,TRUE,,,,FALSE
1024,263,360,0,0,FALSE,TRUE,,,,FALSE
1887,326,33,2,0,FALSE,FALSE,,,,TRUE
3228,128,855,0,0,FALSE,TRUE,,,,FALSE
659,143,0,0,0,TRUE,TRUE,,,,FALSE
2562,5,0,0,0,FALSE,TRUE,,,,FALSE
1766,327,270,0,0,FALSE,TRUE,,,,FALSE
3086,93,9375,0,0,FALSE,TRUE,,,,FALSE
3163,797,378,0,5,FALSE,TRUE,,,,FALSE
3098,130,3945,0,8,FALSE,FALSE,,,,FALSE
3099,93,7776,0,0,FALSE,TRUE,,,,FALSE
2931,361,270,0,4,TRUE,FALSE,,,,FALSE
3244,301,285,0,0,TRUE,TRUE,,,,FALSE
761,164,0,0,0,TRUE,TRUE,,,,FALSE
828,184,4275,0,0,TRUE,TRUE,,,,FALSE
829,184,98,0,0,TRUE,TRUE,,,,FALSE
3106,93,8262,0,0,FALSE,TRUE,,,,FALSE
3234,144,548,0,0,FALSE,FALSE,,,,FALSE
2939,159,4560,0,0,TRUE,TRUE,,,,FALSE
1145,6,1455,0,0,FALSE,TRUE,,,,FALSE
3122,93,7830,0,0,TRUE,TRUE,,,,FALSE
2168,253,413,0,0,FALSE,TRUE,,,,FALSE
830,184,4680,0,0,TRUE,TRUE,,,,FALSE
831,184,98,0,0,TRUE,TRUE,,,,FALSE
992,260,300,0,0,TRUE,TRUE,,,,FALSE
2632,390,735,0,0,FALSE,FALSE,,,,FALSE
3107,435,2130,0,0,FALSE,FALSE,,,,FALSE
3101,278,8700,0,28,TRUE,FALSE,,,,FALSE
2576,130,7590,40,0,TRUE,FALSE,,,,TRUE
1826,148,0,0,0,TRUE,FALSE,,,,FALSE
833,184,135,0,0,TRUE,TRUE,,,,FALSE
3123,93,7938,0,0,TRUE,TRUE,,,,FALSE
834,184,4860,0,0,TRUE,TRUE,,,,FALSE
2545,370,4635,0,0,FALSE,TRUE,,,,FALSE
2920,157,5925,0,0,TRUE,FALSE,,,,FALSE
2297,359,6660,0,0,FALSE,FALSE,,,,FALSE
2914,130,8340,0,0,FALSE,FALSE,,,,FALSE
3485,475,825,0,13,FALSE,TRUE,,,,FALSE
3280,128,660,0,0,FALSE,TRUE,,,,FALSE
3109,278,7950,0,0,FALSE,FALSE,,,,FALSE
3235,144,278,0,0,FALSE,FALSE,,,,FALSE
1908,240,990,0,3,TRUE,TRUE,,,,FALSE
2919,157,3780,0,0,TRUE,TRUE,,,,FALSE
3003,163,6300,0,0,TRUE,TRUE,,,,FALSE
2642,190,338,0,0,FALSE,TRUE,,,,FALSE
2960,430,788,0,0,FALSE,FALSE,,,,FALSE
3065,256,9648,0,0,FALSE,TRUE,,,,FALSE
3076,781,4620,0,0,FALSE,TRUE,,,,FALSE
812,180,315,0,0,FALSE,TRUE,,,,FALSE
3000,278,240,0,0,TRUE,TRUE,,,,FALSE
3002,363,65,0,0,TRUE,TRUE,,,,FALSE
3058,74,6660,0,0,FALSE,TRUE,,,,FALSE
900,233,158,0,0,TRUE,FALSE,,,,FALSE
3231,128,1260,0,0,FALSE,TRUE,,,,FALSE
3097,95,420,0,0,FALSE,TRUE,,,,FALSE
933,240,3,0,20000,TRUE,TRUE,,,,FALSE
929,243,180,0,20000,TRUE,TRUE,,,,FALSE
3100,49,1800,0,-306,FALSE,FALSE,,,,FALSE
1346,838,698,0,0,FALSE,TRUE,,,,FALSE
3276,780,788,75,0,FALSE,TRUE,,,,FALSE
2300,359,3713,0,0,FALSE,TRUE,,,,FALSE
3236,278,398,0,0,FALSE,FALSE,,,,FALSE
3274,780,788,75,0,TRUE,TRUE,,,,FALSE
1884,333,180,20,0,TRUE,TRUE,,,,TRUE
2936,66,1154,0,0,FALSE,FALSE,,,,FALSE
971,258,383,0,0,TRUE,TRUE,,,,FALSE
3104,96,525,0,0,FALSE,TRUE,,,,FALSE
972,256,180,0,0,TRUE,TRUE,,,,FALSE
1636,780,815,10,9,TRUE,TRUE,,,,FALSE
993,260,278,0,0,TRUE,TRUE,,,,FALSE
787,170,1290,0,0,FALSE,TRUE,,,,FALSE
1939,243,117,0,0,FALSE,TRUE,,,,FALSE
1060,48,0,0,0,TRUE,TRUE,,,,FALSE
2934,147,1656,0,0,FALSE,FALSE,,,,FALSE
3237,278,398,0,0,FALSE,FALSE,,,,FALSE
2167,173,1290,0,0,FALSE,TRUE,,,,FALSE
3004,434,450,0,0,TRUE,FALSE,,,,FALSE
618,131,158,0,0,FALSE,FALSE,,,,FALSE
706,156,75,0,0,FALSE,TRUE,,,,FALSE
803,175,540,0,0,FALSE,TRUE,,,,FALSE
3321,129,660,0,0,FALSE,TRUE,,,,FALSE
2107,343,450,0,0,FALSE,FALSE,,,,FALSE
2657,400,3000,0,0,FALSE,FALSE,,,,FALSE
621,131,315,0,10,FALSE,FALSE,,,,FALSE
314,51,95,0,0,FALSE,TRUE,,,,FALSE
800,174,983,0,0,FALSE,TRUE,,,,FALSE
2344,376,75,0,0,FALSE,TRUE,,,,FALSE
36,130,2040,0,0,TRUE,TRUE,,,,FALSE
3073,151,16740,0,0,FALSE,FALSE,,,,FALSE
3057,74,6696,0,0,FALSE,TRUE,,,,FALSE
594,130,2634,0,0,FALSE,TRUE,,,,FALSE
2267,184,2,0,0,FALSE,FALSE,,,,TRUE
333,51,98,0,0,FALSE,TRUE,,,,FALSE
1158,48,0,0,0,TRUE,TRUE,,,,FALSE
2602,151,267,12,12,TRUE,TRUE,,,,FALSE
2600,151,15300,0,0,FALSE,TRUE,,,,FALSE
302,790,458,0,0,FALSE,TRUE,,,,FALSE
2560,5,0,0,0,FALSE,TRUE,,,,FALSE
3062,93,7938,0,0,FALSE,TRUE,,,,FALSE
3238,74,270,0,0,FALSE,FALSE,,,,FALSE
1650,315,900,0,0,FALSE,TRUE,,,,FALSE
1624,317,458,0,0,FALSE,TRUE,,,,FALSE
2825,243,165,0,0,FALSE,TRUE,,,,FALSE
697,840,300,0,-235,TRUE,TRUE,,,,FALSE
307,839,461,10,5,TRUE,TRUE,,,,FALSE
1850,119,165,0,0,FALSE,TRUE,,,,FALSE
3102,278,8700,0,0,FALSE,FALSE,,,,FALSE
1847,116,158,0,0,FALSE,TRUE,,,,FALSE
14,7,293,0,0,FALSE,FALSE,,,,FALSE
3094,74,300,0,-216,FALSE,FALSE,,,,FALSE
3055,388,36000,0,0,FALSE,TRUE,,,,FALSE
809,178,293,0,0,FALSE,TRUE,,,,FALSE
3136,151,1305,0,0,TRUE,TRUE,,,,FALSE
3574,326,9375,0,0,TRUE,TRUE,,,,FALSE
3146,441,2355,0,0,FALSE,FALSE,,,,FALSE
1235,256,211,0,0,TRUE,TRUE,,,,FALSE
3064,96,6642,0,0,FALSE,TRUE,,,,FALSE
3105,96,150,0,0,FALSE,TRUE,,,,FALSE
3229,783,945,0,0,TRUE,TRUE,,,,FALSE
3445,367,773,0,0,FALSE,TRUE,,,,FALSE
1412,783,792,0,0,FALSE,TRUE,,,,FALSE
1323,307,720,0,0,FALSE,TRUE,,,,FALSE
2511,205,4275,50,0,FALSE,TRUE,,,,TRUE
3145,441,1425,0,0,FALSE,FALSE,,,,FALSE
848,190,120,0,0,FALSE,TRUE,,,,FALSE
359,80,266,0,0,FALSE,TRUE,,,,FALSE
3096,95,420,0,0,FALSE,TRUE,,,,FALSE
3320,129,660,0,0,FALSE,FALSE,,,,FALSE
1975,58,923,0,0,TRUE,FALSE,,,,FALSE
2844,609,2573,5,0,FALSE,TRUE,,,,FALSE
987,389,105,0,0,FALSE,TRUE,,,,FALSE
357,80,195,0,0,FALSE,TRUE,,,,FALSE
3063,96,8100,0,0,FALSE,TRUE,,,,FALSE
2865,170,600,30,0,FALSE,TRUE,,,,FALSE
2678,789,975,0,1,FALSE,TRUE,,,,FALSE
2290,608,2565,25,0,FALSE,TRUE,,,,FALSE
2599,783,951,0,0,TRUE,TRUE,,,,FALSE
