order_id,cancellation_reason_id,cancellation_reason
187019,30,"Retailer's Location is Incorrect"
187018,59,"Shop Closed And Customer Not Responding"
186999,59,"Shop Closed And Customer Not Responding"
186966,57," inaccessible area Other"
186957,59,"Shop Closed And Customer Not Responding"
186946,30,"Retailer's Location is Incorrect"
186929,55,"SKU's NA"
186929,52," some issue with salesman mobile Other"
186926,52," some issue with salesman mobile Other"
186926,55,"SKU's NA"
186915,52," some issue with salesman mobile Other"
186915,60,"Customer Has Already Purchased It From Somewhere Else"
186903,59,"Shop Closed And Customer Not Responding"
186902,59,"Shop Closed And Customer Not Responding"
186893,59,"Shop Closed And Customer Not Responding"
186874,58,"Customer Does Not Have Cash"
186867,59,"Shop Closed And Customer Not Responding"
186846,59,"Shop Closed And Customer Not Responding"
186846,52," some issue with salesman mobile Other"
186836,49,"Driver got late"
186836,53,"Late Delivery"
186835,58,"Customer Does Not Have Cash"
186830,58,"Customer Does Not Have Cash"
186824,59,"Shop Closed And Customer Not Responding"
186814,62,"Customer Claims That He Has Already Received The Same Before"
186814,52," some issue with salesman mobile Other"
186804,63," shop closed Other"
186803,59,"Shop Closed And Customer Not Responding"
186792,58,"Customer Does Not Have Cash"
186790,30,"Retailer's Location is Incorrect"
186781,59,"Shop Closed And Customer Not Responding"
186777,62,"Customer Claims That He Has Already Received The Same Before"
186777,62,"Customer Claims That He Has Already Received The Same Before"
186767,58,"Customer Does Not Have Cash"
186766,59,"Shop Closed And Customer Not Responding"
186760,58,"Customer Does Not Have Cash"
186754,55,"SKU's NA"
186750,30,"Retailer's Location is Incorrect"
186725,59,"Shop Closed And Customer Not Responding"
186722,60,"Customer Has Already Purchased It From Somewhere Else"
186722,52," some issue with salesman mobile Other"
186721,55,"SKU's NA"
186719,30,"Retailer's Location is Incorrect"
186702,59,"Shop Closed And Customer Not Responding"
186699,58,"Customer Does Not Have Cash"
186696,58,"Customer Does Not Have Cash"
186695,61,"Customer Claims That He Hasn't Placed The Order"
186693,55,"SKU's NA"
186690,59,"Shop Closed And Customer Not Responding"
186675,28,"Incomplete Order"
186673,58,"Customer Does Not Have Cash"
186661,58,"Customer Does Not Have Cash"
186654,59,"Shop Closed And Customer Not Responding"
186647,28,"Incomplete Order"
186625,49,"Driver got late"
186625,58,"Customer Does Not Have Cash"
186616,63," shop closed Other"
186603,58,"Customer Does Not Have Cash"
186590,58,"Customer Does Not Have Cash"
186586,56,"Damaged/short expiry"
186585,59,"Shop Closed And Customer Not Responding"
186574,59,"Shop Closed And Customer Not Responding"
186567,59,"Shop Closed And Customer Not Responding"
186557,30,"Retailer's Location is Incorrect"
186554,30,"Retailer's Location is Incorrect"
186551,55,"SKU's NA"
186545,59,"Shop Closed And Customer Not Responding"
186543,62,"Customer Claims That He Has Already Received The Same Before"
186534,58,"Customer Does Not Have Cash"
186528,53,"Late Delivery"
186525,63," Shop close due to personl issue Other"
186521,63," Shop close due to personl issue Other"
186508,63," Shop close due to personl issue Other"
186504,63," Shop close due to personl issue Other"
186499,58,"Customer Does Not Have Cash"
186497,58,"Customer Does Not Have Cash"
186493,63," Shop close due to personl issue Other"
186480,59,"Shop Closed And Customer Not Responding"
186473,59,"Shop Closed And Customer Not Responding"
186472,59,"Shop Closed And Customer Not Responding"
186471,30,"Retailer's Location is Incorrect"
186465,58,"Customer Does Not Have Cash"
186465,58,"Customer Does Not Have Cash"
186446,61,"Customer Claims That He Hasn't Placed The Order"
186444,30,"Retailer's Location is Incorrect"
186443,58,"Customer Does Not Have Cash"
186442,59,"Shop Closed And Customer Not Responding"
186429,58,"Customer Does Not Have Cash"
186427,59,"Shop Closed And Customer Not Responding"
186419,58,"Customer Does Not Have Cash"
186418,55,"SKU's NA"
186393,53,"Late Delivery"
186371,53,"Late Delivery"
186367,30,"Retailer's Location is Incorrect"
186350,53,"Late Delivery"
186346,55,"SKU's NA"
186338,58,"Customer Does Not Have Cash"
186335,59,"Shop Closed And Customer Not Responding"
186331,57," Order Cancel by salesman app issue Other"
186311,53,"Late Delivery"
186301,58,"Customer Does Not Have Cash"
186293,53,"Late Delivery"
186291,61,"Customer Claims That He Hasn't Placed The Order"
186267,53,"Late Delivery"
186246,53,"Late Delivery"
186227,53,"Late Delivery"
186226,58,"Customer Does Not Have Cash"
186225,30,"Retailer's Location is Incorrect"
186213,30,"Retailer's Location is Incorrect"
186201,58,"Customer Does Not Have Cash"
186175,55,"SKU's NA"
186173,55,"SKU's NA"
186171,53,"Late Delivery"
186166,30,"Retailer's Location is Incorrect"
186156,58,"Customer Does Not Have Cash"
186151,29,"No Service Area"
186146,59,"Shop Closed And Customer Not Responding"
186143,53,"Late Delivery"
186126,55,"SKU's NA"
186121,59,"Shop Closed And Customer Not Responding"
186101,53,"Late Delivery"
186079,53,"Late Delivery"
186077,53,"Late Delivery"
186076,53,"Late Delivery"
186071,53,"Late Delivery"
186058,59,"Shop Closed And Customer Not Responding"
186057,53,"Late Delivery"
186046,59,"Shop Closed And Customer Not Responding"
186040,60,"Customer Has Already Purchased It From Somewhere Else"
186036,59,"Shop Closed And Customer Not Responding"
186013,55,"SKU's NA"
185997,58,"Customer Does Not Have Cash"
185995,56,"Damaged/short expiry"
185992,58,"Customer Does Not Have Cash"
185978,53,"Late Delivery"
185976,55,"SKU's NA"
185966,55,"SKU's NA"
185964,30,"Retailer's Location is Incorrect"
185960,61,"Customer Claims That He Hasn't Placed The Order"
185953,55,"SKU's NA"
185951,28,"Incomplete Order"
185921,30,"Retailer's Location is Incorrect"
185919,55,"SKU's NA"
185918,55,"SKU's NA"
185911,59,"Shop Closed And Customer Not Responding"
185908,59,"Shop Closed And Customer Not Responding"
185892,59,"Shop Closed And Customer Not Responding"
185883,55,"SKU's NA"
185871,55,"SKU's NA"
185865,53,"Late Delivery"
185864,59,"Shop Closed And Customer Not Responding"
185859,55,"SKU's NA"
185856,30,"Retailer's Location is Incorrect"
185855,55,"SKU's NA"
185853,58,"Customer Does Not Have Cash"
185852,53,"Late Delivery"
185852,53,"Late Delivery"
185842,60,"Customer Has Already Purchased It From Somewhere Else"
185838,55,"SKU's NA"
185836,55,"SKU's NA"
185830,53,"Late Delivery"
185828,55,"SKU's NA"
185827,55,"SKU's NA"
185826,55,"SKU's NA"
185822,55,"SKU's NA"
185819,55,"SKU's NA"
185818,55,"SKU's NA"
185812,55,"SKU's NA"
185810,53,"Late Delivery"
185808,57," order Cancel  order not deliver salesman side Other"
185807,55,"SKU's NA"
185805,55,"SKU's NA"
185803,53,"Late Delivery"
185801,55,"SKU's NA"
185797,55,"SKU's NA"
